MODELNAME,Acc,Loss,Prec.,F1,Recall
LSTMPredictor,0.5,2.05,0.48,0.46,0.47
TransformerEnsemble,0.66,1.47,0.66,0.65,0.65
HybridEnsembleModel,0.75,1.32,0.75,0.74,0.74
YetAnotherEnsemble,0.78,1.38,0.78,0.77,0.77
CVTransferLearningModel,0.78,0.88,0.79,0.77,0.77
YetAnotherTransformer,0.78,1.0,0.78,0.77,0.77
HybridModel,0.79,0.85,0.8,0.78,0.78
TransformerPredictor,0.81,0.86,0.81,0.8,0.8
